ID,Price
1488566728,39.89
1603768865,51.99
1542813125,40.02
1298954594,50.31
1168517495,46.26
1085995169,55.99
1250316563,41.12
1288693176,46.19
1249023060,21.4
1240593600,45.23
1264049202,45
1254535382,7.99
1305479080,9.99
1284207489,9.99
1281982625,19.99
1315710011,25
1243874488,15.99
1274623813,9.99
1325726787,37.99
1373723882,299.99
1379574546,124.95
1363204703,124.95
1363709900,60.02
1374013440,54.22
1385778993,44.99
1417769833,5.99
1491070770,86.98
1477958233,149
1495293015,63
1454029510,13.99
1446189975,23.99
1483734578,22.99
1445053941,48
1447870200,45.9
1451916165,54
1373837500,279
1373708058,59.99
1365337545,68.99
1368486469,33.99
1327960200,14.99
1255258638,30
1219717920,42.79
1126642500,43.98
1198638945,110
1227874725,24.99
1219969853,31.99
1173637400,84.09
1128709292,56.99
1129245604,51.99
1124306272,63.98
1149418485,65
1214216070,420
1224193838,11.95
1246104920,12.95
1239214238,17.95
1226110328,72.9
1218626490,69.9
1163935726,66.4
1178086140,150
1179105200,160
1150468023,119.99
1073887457,64.99
1078198524,100
1096957771,39.99
1000065296,125
1024082228,125
881233116,132.5
915618609,151.99
778411179,445
799741619,18.99
848838979,24.8
871457940,86
873841849,125
988957719,54.93
1014650063,88
1067634684,49.35
1119796120,49.36
1080917760,49.83
1123658944,49.33
1113217032,74.99
1125658000,328.61
1035512825,39.95
1054083771,24.99
1022707665,90
1038798980,25.99
1048939081,69.99
1094484058,198
1082848325,59.99
1110587858,262
1100902800,299.95
1079491697,219.95
1144602838,60
1161619140,65
1240092366,109.99
1218777834,49.9
1195225200,65
1201487185,50
1196226508,13.99
1209797378,78.35
1222677176,79.35
1229098150,57.16
1229098150,32.99
1187105900,75
1185307130,36.99
1188153925,80.79
1211789250,89.77
1231248581,85.28
1259042650,106.92
1300656724,117.49
1271404657,84.85
1260352119,68.92
1312996375,229.95
1313544013,160.99
1377725475,109.95
1403829641,132.16
1428698678,39.99
1404437433,95
1374309422,37.99
1392768092,61.99
1417198897,9.49
1393847159,22.99
1469193138,79.98
1424675798,37.97
1422584866,65
1552288465,115
1574672051,91.99
1610215347,79.99
1581969854,115
1593346565,78
1477012118,127.35
1473965191,49.99
1389646450,80
1448411494,70
1419836072,47.99
1484085516,229.78
1470679164,130.88
1580450350,150
1556386219,74.99
1578699084,20.99
1512038756,20.15
1526085146,14.73
1542395098,15.95
1542278406,18.25
1540598328,21.61
1519883709,30.09
1489921944,38.84
1495101147,9.99
1515584736,45.99
1479037148,58
1494974356,43.99
1507033770,30.79
1509434269,117.7
1573520360,31
1585878762,20.99
1616584505,69.57
1566038425,55.36
1557001092,66.15
1344930746,86.47
1457492615,36.9
1521498787,120
1516777519,79.99
1522686975,16.47
1498859918,70
1488277350,46.78
1544249376,94.99
1543701125,60
1547971040,119.99
1599426131,12
1634968839,73.98
1664129178,100
1720981439,63.95
1689851848,142
1734327563,124.95
1850219763,29.95
2046457291,41.2
2073319140,42.36
2164518143,53.69
2302910260,97.58
2540139399,243.95
2358198593,55.32
2222012384,59.98
2111296044,64.98
2339831217,0.1
2365837416,8.99
2436241934,69.99
2384492273,17.54
2433658800,59.15
2460742837,15
2462261645,7.05
2568713111,96.44
2737659088,109
2931598960,103.01
3138994688,110
3545560087,86.41
4045494603,68.67
4058705857,129.65
3910613095,129.56
4101635027,80
4317726291,47.77
4883103453,85
5038817795,125
5013561020,69.99
5282849105,69.99
5907842064,60
8449069629,21.95
7022949161,21.94
7100077964,21.88
8684240726,21.17
9276681716,20.08
9597335799,40
9317034156,19.62
9619646225,209.15
11176110593,208.15
12069885699,32.99
12435823060,44.98
13646039846,65
13620389321,107.99
11531708948,113.99
12591271606,150
13018451838,30
13903428351,87.99
12626914509,96
10025645095,83.97
8442962249,36.97
9627500113,7.99
10808715488,54.95
11966951486,54.95
10638546534,115
10578889955,74.99
10816819988,14.99
10578987915,99.99
10625517651,40.8
8565534010,48
8279623719,58
6347159168,5.83
8406397153,118.99
7599576492,34.99
7363114611,136.84
7505757423,150.64
8192487202,29.96
8100042042,39.95
8305173374,44.98
9279735331,35.95
8955394564,59.98
8869918644,47.99
9082103621,60
9217167990,185
9191325349,100.47
9403308145,91.43
9781073921,"7 Regular (d)"""
9980135396,160
10477362437,136
11379660685,159.95
